V = 650, E = 780
out_asc_forward 2 [('22', '54'), ('69', '626')]
out_desc_forward 2 [('502', '329'), ('607', '69')]
in_asc_forward 2 [('502', '329'), ('607', '69')]
in_desc_forward 2 [('22', '54'), ('69', '626')]
random_forward 2 [('54', '307'), ('626', '196')]
greedy1_forward 2 [('54', '307'), ('626', '196')]
greedy2_forward 2 [('54', '307'), ('626', '196')]
out_asc_backward 2 [('88', '22'), ('607', '69')]
out_desc_backward 2 [('638', '502'), ('196', '607')]
in_asc_backward 2 [('638', '502'), ('196', '607')]
in_desc_backward 2 [('88', '22'), ('607', '69')]
random_backward 2 [('22', '54'), ('69', '626')]
greedy1_backward 2 [('22', '54'), ('69', '626')]
greedy2_backward 2 [('22', '54'), ('69', '626')]
Execution time: 0.013358354568481445 ms
