V = 404, E = 404
out_asc_forward 2 [('27', '246'), ('12', '244')]
out_desc_forward 2 [('258', '27'), ('178', '12')]
in_asc_forward 2 [('258', '27'), ('178', '12')]
in_desc_forward 2 [('27', '246'), ('12', '244')]
random_forward 2 [('214', '350'), ('12', '244')]
greedy1_forward 2 [('214', '350'), ('12', '244')]
greedy2_forward 2 [('214', '350'), ('12', '244')]
out_asc_backward 2 [('258', '27'), ('178', '12')]
out_desc_backward 2 [('350', '258'), ('352', '178')]
in_asc_backward 2 [('350', '258'), ('352', '178')]
in_desc_backward 2 [('258', '27'), ('178', '12')]
random_backward 2 [('144', '214'), ('178', '12')]
greedy1_backward 2 [('144', '214'), ('178', '12')]
greedy2_backward 2 [('144', '214'), ('178', '12')]
Execution time: 0.007162809371948242 ms
