V = 800, E = 800
out_asc_forward 3 [('479', '373'), ('143', '578'), ('87', '665')]
out_desc_forward 3 [('373', '479'), ('482', '143'), ('661', '194')]
in_asc_forward 3 [('373', '479'), ('482', '143'), ('661', '194')]
in_desc_forward 3 [('479', '373'), ('143', '578'), ('87', '665')]
random_forward 3 [('373', '479'), ('482', '143'), ('661', '194')]
greedy1_forward 3 [('373', '479'), ('482', '143'), ('661', '194')]
greedy2_forward 3 [('373', '479'), ('482', '143'), ('661', '194')]
out_asc_backward 3 [('373', '479'), ('482', '143'), ('301', '87')]
out_desc_backward 3 [('479', '373'), ('246', '482'), ('665', '661')]
in_asc_backward 3 [('479', '373'), ('246', '482'), ('665', '661')]
in_desc_backward 3 [('373', '479'), ('482', '143'), ('301', '87')]
random_backward 3 [('479', '373'), ('246', '482'), ('665', '661')]
greedy1_backward 3 [('479', '373'), ('246', '482'), ('665', '661')]
greedy2_backward 3 [('479', '373'), ('246', '482'), ('665', '661')]
Execution time: 0.019968509674072266 ms
