V = 365, E = 405
out_asc_forward 3 [('381', '244'), ('320', '376'), ('289', '397')]
out_desc_forward 3 [('381', '244'), ('376', '320'), ('397', '378')]
in_asc_forward 3 [('381', '244'), ('376', '320'), ('397', '378')]
in_desc_forward 3 [('381', '244'), ('320', '376'), ('289', '397')]
random_forward 3 [('381', '244'), ('320', '376'), ('378', '57')]
greedy1_forward 3 [('381', '244'), ('320', '376'), ('378', '57')]
greedy2_forward 3 [('381', '244'), ('320', '376'), ('378', '57')]
out_asc_backward 3 [('381', '244'), ('376', '320'), ('57', '289')]
out_desc_backward 3 [('381', '244'), ('320', '376'), ('289', '397')]
in_asc_backward 3 [('381', '244'), ('320', '376'), ('289', '397')]
in_desc_backward 3 [('381', '244'), ('376', '320'), ('57', '289')]
random_backward 3 [('381', '244'), ('376', '320'), ('397', '378')]
greedy1_backward 3 [('381', '244'), ('376', '320'), ('397', '378')]
greedy2_backward 3 [('381', '244'), ('376', '320'), ('397', '378')]
Execution time: 0.011429071426391602 ms
