V = 278, E = 278
out_asc_forward 2 [('50', '21'), ('23', '230')]
out_desc_forward 2 [('167', '224'), ('40', '23')]
in_asc_forward 2 [('167', '224'), ('40', '23')]
in_desc_forward 2 [('50', '21'), ('23', '230')]
random_forward 2 [('224', '50'), ('23', '230')]
greedy1_forward 2 [('224', '50'), ('23', '230')]
greedy2_forward 2 [('224', '50'), ('23', '230')]
out_asc_backward 2 [('224', '50'), ('40', '23')]
out_desc_backward 2 [('158', '167'), ('83', '40')]
in_asc_backward 2 [('158', '167'), ('83', '40')]
in_desc_backward 2 [('224', '50'), ('40', '23')]
random_backward 2 [('167', '224'), ('40', '23')]
greedy1_backward 2 [('167', '224'), ('40', '23')]
greedy2_backward 2 [('167', '224'), ('40', '23')]
Execution time: 0.007490873336791992 ms
