V = 490, E = 490
out_asc_forward 2 [('429', '201'), ('33', '180')]
out_desc_forward 2 [('403', '429'), ('271', '129')]
in_asc_forward 2 [('403', '429'), ('271', '129')]
in_desc_forward 2 [('429', '201'), ('33', '180')]
random_forward 2 [('201', '329'), ('180', '455')]
greedy1_forward 2 [('201', '329'), ('180', '455')]
greedy2_forward 2 [('201', '329'), ('180', '455')]
out_asc_backward 2 [('403', '429'), ('94', '33')]
out_desc_backward 2 [('489', '403'), ('455', '271')]
in_asc_backward 2 [('489', '403'), ('455', '271')]
in_desc_backward 2 [('403', '429'), ('94', '33')]
random_backward 2 [('429', '201'), ('33', '180')]
greedy1_backward 2 [('429', '201'), ('33', '180')]
greedy2_backward 2 [('429', '201'), ('33', '180')]
Execution time: 0.01077723503112793 ms
