V = 76, E = 74
out_asc_forward 2 [('62', '14'), ('2', '64')]
out_desc_forward 2 [('62', '14'), ('32', '2')]
in_asc_forward 2 [('62', '14'), ('32', '2')]
in_desc_forward 2 [('62', '14'), ('2', '64')]
random_forward 2 [('62', '14'), ('52', '32')]
greedy1_forward 2 [('62', '14'), ('52', '32')]
greedy2_forward 2 [('62', '14'), ('52', '32')]
out_asc_backward 2 [('62', '14'), ('32', '2')]
out_desc_backward 2 [('62', '14'), ('52', '32')]
in_asc_backward 2 [('62', '14'), ('52', '32')]
in_desc_backward 2 [('62', '14'), ('32', '2')]
random_backward 2 [('62', '14'), ('28', '52')]
greedy1_backward 2 [('62', '14'), ('28', '52')]
greedy2_backward 2 [('62', '14'), ('28', '52')]
Execution time: 0.001950979232788086 ms
