V = 140, E = 213
out_asc_forward 4 [('92', '142'), ('29', '124'), ('59', '146'), ('9', '28')]
out_desc_forward 4 [('92', '142'), ('147', '29'), ('146', '57'), ('36', '9')]
in_asc_forward 4 [('92', '142'), ('147', '29'), ('146', '57'), ('36', '9')]
in_desc_forward 4 [('92', '142'), ('29', '124'), ('59', '146'), ('9', '28')]
random_forward 4 [('92', '142'), ('147', '29'), ('59', '146'), ('36', '9')]
greedy1_forward 4 [('92', '142'), ('147', '29'), ('59', '146'), ('36', '9')]
greedy2_forward 4 [('92', '142'), ('147', '29'), ('59', '146'), ('36', '9')]
out_asc_backward 4 [('92', '142'), ('147', '29'), ('34', '59'), ('36', '9')]
out_desc_backward 4 [('92', '142'), ('124', '147'), ('59', '146'), ('28', '36')]
in_asc_backward 4 [('92', '142'), ('124', '147'), ('59', '146'), ('28', '36')]
in_desc_backward 4 [('92', '142'), ('147', '29'), ('34', '59'), ('36', '9')]
random_backward 4 [('92', '142'), ('124', '147'), ('34', '59'), ('28', '36')]
greedy1_backward 4 [('92', '142'), ('124', '147'), ('34', '59'), ('28', '36')]
greedy2_backward 4 [('92', '142'), ('124', '147'), ('34', '59'), ('28', '36')]
Execution time: 0.003598928451538086 ms
