V = 150, E = 150
out_asc_forward 3 [('77', '58'), ('81', '18'), ('51', '134')]
out_desc_forward 3 [('125', '77'), ('18', '81'), ('71', '51')]
in_asc_forward 3 [('125', '77'), ('18', '81'), ('71', '51')]
in_desc_forward 3 [('77', '58'), ('81', '18'), ('51', '134')]
random_forward 3 [('150', '125'), ('81', '18'), ('51', '134')]
greedy1_forward 3 [('150', '125'), ('81', '18'), ('51', '134')]
greedy2_forward 3 [('150', '125'), ('81', '18'), ('51', '134')]
out_asc_backward 3 [('125', '77'), ('18', '81'), ('71', '51')]
out_desc_backward 3 [('150', '125'), ('81', '18'), ('134', '71')]
in_asc_backward 3 [('150', '125'), ('81', '18'), ('134', '71')]
in_desc_backward 3 [('125', '77'), ('18', '81'), ('71', '51')]
random_backward 3 [('76', '150'), ('18', '81'), ('71', '51')]
greedy1_backward 3 [('76', '150'), ('18', '81'), ('71', '51')]
greedy2_backward 3 [('76', '150'), ('18', '81'), ('71', '51')]
Execution time: 0.0027158260345458984 ms
