V = 308, E = 377
out_asc_forward 3 [('70', '193'), ('23', '92'), ('6', '214')]
out_desc_forward 3 [('70', '193'), ('342', '191'), ('272', '25')]
in_asc_forward 3 [('70', '193'), ('342', '191'), ('272', '25')]
in_desc_forward 3 [('70', '193'), ('23', '92'), ('6', '214')]
random_forward 3 [('70', '193'), ('74', '75'), ('80', '325')]
greedy1_forward 3 [('70', '193'), ('74', '75'), ('80', '325')]
greedy2_forward 3 [('70', '193'), ('74', '75'), ('80', '325')]
out_asc_backward 3 [('70', '193'), ('75', '23'), ('178', '6')]
out_desc_backward 3 [('70', '193'), ('180', '342'), ('252', '272')]
in_asc_backward 3 [('70', '193'), ('180', '342'), ('252', '272')]
in_desc_backward 3 [('70', '193'), ('75', '23'), ('178', '6')]
random_backward 3 [('70', '193'), ('191', '74'), ('214', '80')]
greedy1_backward 3 [('70', '193'), ('191', '74'), ('214', '80')]
greedy2_backward 3 [('70', '193'), ('191', '74'), ('214', '80')]
Execution time: 0.006426811218261719 ms
