V = 675, E = 675
out_asc_forward 4 [('93', '193'), ('570', '572'), ('556', '224'), ('24', '205')]
out_desc_forward 4 [('413', '93'), ('572', '282'), ('551', '216'), ('101', '24')]
in_asc_forward 4 [('413', '93'), ('572', '282'), ('551', '216'), ('101', '24')]
in_desc_forward 4 [('93', '193'), ('570', '572'), ('556', '224'), ('24', '205')]
random_forward 4 [('93', '193'), ('503', '570'), ('36', '338'), ('101', '24')]
greedy1_forward 4 [('93', '193'), ('503', '570'), ('36', '338'), ('101', '24')]
greedy2_forward 4 [('93', '193'), ('503', '570'), ('36', '338'), ('101', '24')]
out_asc_backward 4 [('413', '93'), ('503', '570'), ('354', '556'), ('101', '24')]
out_desc_backward 4 [('193', '413'), ('570', '572'), ('562', '551'), ('205', '101')]
in_asc_backward 4 [('193', '413'), ('570', '572'), ('562', '551'), ('205', '101')]
in_desc_backward 4 [('413', '93'), ('503', '570'), ('354', '556'), ('101', '24')]
random_backward 4 [('413', '93'), ('282', '503'), ('560', '36'), ('205', '101')]
greedy1_backward 4 [('413', '93'), ('282', '503'), ('560', '36'), ('205', '101')]
greedy2_backward 4 [('413', '93'), ('282', '503'), ('560', '36'), ('205', '101')]
Execution time: 0.016150474548339844 ms
