V = 278, E = 305
out_asc_forward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('21', '72')]
out_desc_forward 5 [('49', '172'), ('79', '54'), ('87', '32'), ('229', '34'), ('103', '94')]
in_asc_forward 5 [('49', '172'), ('79', '54'), ('87', '32'), ('229', '34'), ('103', '94')]
in_desc_forward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('21', '72')]
random_forward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('103', '94')]
greedy1_forward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('103', '94')]
greedy2_forward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('103', '94')]
out_asc_backward 5 [('49', '172'), ('79', '54'), ('32', '230'), ('91', '165'), ('52', '21')]
out_desc_backward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('72', '103')]
in_asc_backward 5 [('49', '172'), ('79', '54'), ('230', '87'), ('165', '229'), ('72', '103')]
in_desc_backward 5 [('49', '172'), ('79', '54'), ('32', '230'), ('91', '165'), ('52', '21')]
random_backward 5 [('49', '172'), ('79', '54'), ('32', '230'), ('91', '165'), ('72', '103')]
greedy1_backward 5 [('49', '172'), ('79', '54'), ('32', '230'), ('91', '165'), ('72', '103')]
greedy2_backward 5 [('49', '172'), ('79', '54'), ('32', '230'), ('91', '165'), ('72', '103')]
Execution time: 0.009387493133544922 ms
