V = 392, E = 389
out_asc_forward 3 [('165', '4'), ('234', '277'), ('133', '445')]
out_desc_forward 3 [('165', '4'), ('234', '277'), ('160', '114')]
in_asc_forward 3 [('165', '4'), ('234', '277'), ('160', '114')]
in_desc_forward 3 [('165', '4'), ('234', '277'), ('133', '445')]
random_forward 3 [('165', '4'), ('234', '277'), ('91', '133')]
greedy1_forward 3 [('165', '4'), ('234', '277'), ('91', '133')]
greedy2_forward 3 [('165', '4'), ('234', '277'), ('91', '133')]
out_asc_backward 3 [('165', '4'), ('234', '277'), ('91', '133')]
out_desc_backward 3 [('165', '4'), ('234', '277'), ('445', '160')]
in_asc_backward 3 [('165', '4'), ('234', '277'), ('445', '160')]
in_desc_backward 3 [('165', '4'), ('234', '277'), ('91', '133')]
random_backward 3 [('165', '4'), ('234', '277'), ('26', '91')]
greedy1_backward 3 [('165', '4'), ('234', '277'), ('26', '91')]
greedy2_backward 3 [('165', '4'), ('234', '277'), ('26', '91')]
Execution time: 0.011887073516845703 ms
