V = 21, E = 25
out_asc_forward 2 [('22', '15'), ('1', '9')]
out_desc_forward 2 [('22', '15'), ('12', '1')]
in_asc_forward 2 [('22', '15'), ('12', '1')]
in_desc_forward 2 [('22', '15'), ('1', '9')]
random_forward 2 [('22', '15'), ('12', '1')]
greedy1_forward 2 [('22', '15'), ('12', '1')]
greedy2_forward 2 [('22', '15'), ('12', '1')]
out_asc_backward 2 [('22', '15'), ('12', '1')]
out_desc_backward 2 [('22', '15'), ('9', '12')]
in_asc_backward 2 [('22', '15'), ('9', '12')]
in_desc_backward 2 [('22', '15'), ('12', '1')]
random_backward 2 [('22', '15'), ('9', '12')]
greedy1_backward 2 [('22', '15'), ('9', '12')]
greedy2_backward 2 [('22', '15'), ('9', '12')]
Execution time: 0.001146554946899414 ms
