V = 229, E = 306
out_asc_forward 3 [('1', '147'), ('134', '254'), ('33', '172')]
out_desc_forward 3 [('135', '1'), ('109', '74'), ('109', '33')]
in_asc_forward 3 [('135', '1'), ('217', '142'), ('228', '134')]
in_desc_forward 3 [('1', '147'), ('109', '33'), ('109', '74')]
random_forward 3 [('147', '144'), ('228', '134'), ('172', '226')]
greedy1_forward 3 [('147', '144'), ('228', '134'), ('172', '226')]
greedy2_forward 3 [('147', '144'), ('228', '134'), ('172', '226')]
out_asc_backward 3 [('135', '1'), ('228', '134'), ('109', '33')]
out_desc_backward 3 [('243', '135'), ('185', '109'), ('162', '109')]
in_asc_backward 3 [('243', '135'), ('226', '217'), ('74', '228')]
in_desc_backward 3 [('135', '1'), ('162', '109'), ('185', '109')]
random_backward 3 [('1', '147'), ('74', '228'), ('33', '172')]
greedy1_backward 3 [('1', '147'), ('74', '228'), ('33', '172')]
greedy2_backward 3 [('1', '147'), ('74', '228'), ('33', '172')]
Execution time: 0.005486011505126953 ms
